1,0.2174,2.1843572006225584,101
2,0.4507,1.987736671447754,132
3,0.6201,1.7686590728759766,153
4,0.6909,1.5325000900268555,199
5,0.7352,1.3117682518005371,249
6,0.7781,1.1302023971557618,267
7,0.797,0.9890430488586426,299
8,0.8157,0.8819681968688965,316
9,0.8271,0.7991809829711914,332
10,0.8392,0.7353152591705322,367
11,0.845,0.6845747871398926,396
12,0.8499,0.6423257186889648,423
13,0.8567,0.608171208190918,455
14,0.8606,0.578921768951416,473
15,0.8631,0.5545995933532715,494
16,0.8677,0.5331806266784668,523
17,0.8711,0.5151329933166504,549
18,0.8722,0.5011455224990845,583
19,0.8746,0.4866490089416504,649
20,0.8766,0.47402782573699953,686
21,0.879,0.4646653289794922,745
22,0.8818,0.4531680835723877,804
23,0.8826,0.445426092338562,882
24,0.886,0.43617759113311766,935
25,0.8862,0.4280301359176636,986
26,0.8882,0.4214724016189575,1042
27,0.8894,0.4161551290512085,1101
28,0.8896,0.41041257915496826,1152
29,0.8925,0.4043379125595093,1203
30,0.8932,0.399138108253479,1263
31,0.8942,0.39496718769073486,1313
32,0.895,0.3903350154876709,1371
33,0.8961,0.3855787408828735,1429
34,0.8971,0.38248426036834715,1485
35,0.8978,0.37786195335388184,1569
36,0.8993,0.3744142070770264,1662
37,0.9003,0.37049436473846437,1739
38,0.8995,0.36730946922302243,1811
39,0.9014,0.3641610275268555,1884
40,0.9008,0.3608768180847168,1939
41,0.9018,0.3580081708908081,2016
42,0.902,0.35473195190429685,2068
43,0.9033,0.352492956161499,2125
44,0.9046,0.3492956996917725,2191
45,0.9043,0.3473945210456848,2262
46,0.9053,0.34487251443862915,2316
47,0.9049,0.3424096658706665,2366
48,0.9073,0.3401406133651733,2417
49,0.9065,0.33805059452056885,2478
50,0.9068,0.33541067810058595,2531
