1,0.2063,2.1919316696166993,107
2,0.4338,2.0020511779785157,137
3,0.6028,1.7952689224243163,155
4,0.6857,1.5677614883422852,204
5,0.7215,1.3548978775024414,253
6,0.764,1.1730499954223632,273
7,0.7919,1.0324996147155763,305
8,0.807,0.9249766952514649,328
9,0.8216,0.8409436981201172,364
10,0.8296,0.7758565814971924,385
11,0.8391,0.725093132019043,422
12,0.8442,0.6818266242980957,448
13,0.8491,0.6454663887023926,467
14,0.8535,0.6163375202178956,486
15,0.8577,0.5901294494628906,501
16,0.8634,0.5683241394042968,530
17,0.8646,0.5472738079071044,552
18,0.8675,0.5306880445480346,578
19,0.8693,0.5151100666046142,618
20,0.872,0.5020400314331055,666
21,0.876,0.48938249588012694,695
22,0.8758,0.48115862159729006,735
23,0.879,0.46978669357299807,759
24,0.8789,0.4609911449432373,805
25,0.8827,0.45253568248748777,874
26,0.8828,0.4456040689468384,929
